Disclosure_Green;Disclosure_Yellow;Affliated_marketing;Affliated_marketing_cooccur;Giveaway;Giveaway_cooccur1;Giveaway_cooccur2
#ad;#ambassador;code;discount;#giveaway;free;comment
#advertisement;#merch;promotion code;save;giveaway;win;follow
#spon;#collab;promo code;off;#competition;;tag
#advertising;#partner;;checkout;give away ;;share 
#sponsored;#sponsor;;link;;;subscribe
#paid;#partnership;;bio;;;
#advert;#gifted;;shop;;;
advert;ambassador;;get;;;
advertising;merch;;order;;;
advertisement;spon;;check;;;
;sponsor;;;;;
;gifted;;;;;
;gift;;;;;
;partner;;;;;
;promo;;;;;
;#promotion;;;;;
;promotion;;;;;